Arquivo,Total_Palavras,architecture_Frequencia,architecture_Percentual,security_Frequencia,security_Percentual,privacy_Frequencia,privacy_Percentual
1-s2.0-S0740624X22000120-main - Copia,128098,0,0.0,0,0.0,6,0.0
1-s2.0-S0740624X22000120-main,128098,0,0.0,0,0.0,6,0.0
1-s2.0-S1877050922013710-main,120156,1,0.0,0,0.0,0,0.0
1-s2.0-S2352864824000269-main,386375,0,0.0,3,0.0,0,0.0
1-s2.0-S2666764921000163-main,32386,0,0.0,4,0.01,1,0.0
10-1016_j-aci-2019-11-005,229580,1,0.0,4,0.0,3,0.0
2403.08971v2,84865,0,0.0,0,0.0,0,0.0
buildings-13-02944-v3,209876,3,0.0,0,0.0,0,0.0
ExploringDataSecurityandPrivacyIssuesinIoTbasedonFive-LayerArchitecture,89060,5,0.01,8,0.01,5,0.01
Mobile Information Systems - 2021 - Li - Swarm Differential Privacy for Purpose‐Driven Data‐Informati,244679,0,0.0,0,0.0,0,0.0
s40537-020-00318-5,264488,0,0.0,5,0.0,0,0.0
s41060-023-00393-w,101996,0,0.0,0,0.0,0,0.0
sensors-23-02807-v2,226211,2,0.0,15,0.01,10,0.0
